index,original_file,processed_file,mse_gray,psnr_gray_db,mean_abs_diff_gray,edge_var_original,edge_var_processed
37,12974.png,processed_19dec2c38cb04cf1b6ffe619251e8069.jpg,6990.1157,9.686,59.5312,376.2433,69.1581
38,13050.png,processed_1aab5c5bc4644dd7a40accd7be1fac50.jpg,5049.4023,11.098,43.7893,51.076,281.5245
39,13162.png,processed_1be717784be04c53aa86a892f35fd58f.jpg,8283.2959,8.949,64.1711,71.9384,191.3936
40,13771.png,processed_1c4a054f50c24cf5a65ed3e96dff58bd.jpg,10505.6904,7.917,57.2465,124.5919,210.4544
41,13776.png,processed_1d23f784c178447c850fc8e27a21293f.jpg,8383.5273,8.897,56.3672,175.958,378.625
42,13860.png,processed_1d50e2f777004ea59c09edede64ad186.jpg,7021.4058,9.667,52.9707,167.6052,229.3742
43,13978.png,processed_1e7181e1f82f4afab2961827a6bf60e5.jpg,12800.4043,7.059,75.7377,476.5625,257.1847
44,14041.png,processed_1e752746354d46b3802df5928cf3d5cc.jpg,9834.5586,8.203,63.3805,349.249,263.2499
45,14094.png,processed_1f5283e9d3c14bc7a04aad2b4b30a3e4.jpg,6856.8218,9.77,53.8906,243.8484,525.9125
46,14119.png,processed_1f99d1193ec54823b53456cc5ae3b75f.jpg,3139.4648,13.162,28.1649,161.1303,102.1874
47,14183.png,processed_1fff53d39e7b4a7da1a7a61ddb3510ec.jpg,12041.2549,7.324,79.8832,280.0051,333.9866
48,14208.png,processed_20db829bd8de4331b725bb1ac994729a.jpg,2825.7444,13.619,26.2397,163.9901,35.1618
49,14213.png,processed_20ead6334f834fa1ae2ca925d3cb2251.jpg,6250.4634,10.172,53.5854,85.038,245.3981
50,14224.png,processed_20f3bc2ada5543cf883e21c9800da2b1.jpg,9275.8809,8.457,61.5156,182.0811,378.4169
51,14323.png,processed_21a70643cf7b440d85fb48b2cc989cfd.jpg,11183.0195,7.645,70.5602,125.7704,313.3432
52,14399.png,processed_21ad2b55a55c4a6da1842e6ac54f9ea9.jpg,5365.0229,10.835,48.4654,194.614,47.0218
53,14430.png,processed_21c2758a18f14e60aba4a809cc7563cd.jpg,5114.4336,11.043,41.6944,150.3198,84.1511
54,14548.png,processed_21ffb5ecaf794c628ce106cc9b1d44e5.jpg,14612.3008,6.484,78.6213,347.2231,424.2231
55,1473.png,processed_22bac203eaa348d78eb0e03a1a0c585e.jpg,11059.4014,7.693,82.7494,192.3382,241.202
56,14733.png,processed_23364feee355436cb12f3ea4073357b1.jpg,14950.7324,6.384,92.8423,132.3995,467.5002
57,1483.png,processed_238911871713432cb933ca451e5535bb.jpg,8272.0645,8.955,63.0122,132.1064,230.7491
58,14954.png,processed_24019392e902410c87839ffbd623c3f9.jpg,9926.9717,8.163,58.6446,112.9015,769.5838
59,15084.png,processed_2433c8f8f0d14680ace46f5b85e48358.jpg,6633.0801,9.914,49.7878,118.0688,275.1936
60,15190.png,processed_244d5e78cbec4512b0960597daaa3583.jpg,10046.9736,8.11,67.1539,686.3641,425.847
61,15193.png,processed_250ffdb3e9b848aa806bc9091ba824d4.jpg,9616.7441,8.301,71.0587,255.2323,110.3962
62,15230.png,processed_26282fd9516a4d40ac03151e0a65020a.jpg,6854.9365,9.771,51.2487,168.141,544.3269
63,15295.png,processed_27926090e6e04d468b3b47586008a971.jpg,8100.082,9.046,53.8589,433.3623,187.0546
64,1540.png,processed_27abf6e806f145b2bb6397b72df0302a.jpg,6359.8604,10.096,46.2849,286.4738,92.4842
65,15715.png,processed_27f44848c1f84ff5bcf2cee6dca0e925.jpg,7806.3906,9.206,52.9439,547.3347,558.5853
